Team Name	QB Rating	Offensive Strength	Defensive Strength	ST/HC Strength	Home	Away
BEARS	0.450000	0.300000	0.500000	0.500000	0.500000	0.500000
BENGALS	0.625000	0.600000	0.425000	0.450000	0.500000	0.500000
BILLS	0.900000	0.850000	0.700000	0.650000	0.500000	0.500000
BRONCOS	0.525000	0.475000	0.600000	0.350000	0.500000	0.500000
BROWNS	0.325000	0.500000	0.475000	0.500000	0.500000	0.500000
BUCCANEERS	0.850000	0.625000	0.725000	0.550000	0.500000	0.500000
CARDINALS	0.625000	0.600000	0.300000	0.300000	0.500000	0.500000
CHARGERS	0.775000	0.625000	0.575000	0.450000	0.500000	0.500000
CHIEFS	0.950000	0.750000	0.500000	0.700000	0.500000	0.500000
COLTS	0.450000	0.500000	0.550000	0.450000	0.500000	0.500000
COMMANDERS	0.475000	0.400000	0.450000	0.600000	0.500000	0.500000
COWBOYS	0.475000	0.500000	0.450000	0.250000	0.500000	0.500000
DOLPHINS	0.500000	0.700000	0.575000	0.600000	0.500000	0.500000
EAGLES	0.675000	0.725000	0.725000	0.600000	0.500000	0.500000
FALCONS	0.450000	0.400000	0.400000	0.600000	0.500000	0.500000
GIANTS	0.350000	0.400000	0.450000	0.575000	0.500000	0.500000
JAGUARS	0.550000	0.600000	0.600000	0.600000	0.500000	0.500000
JETS	0.400000	0.525000	0.400000	0.300000	0.500000	0.500000
LIONS	0.500000	0.550000	0.400000	0.525000	0.500000	0.500000
PACKERS	0.875000	0.675000	0.600000	0.525000	0.500000	0.500000
PANTHERS	0.450000	0.475000	0.525000	0.400000	0.500000	0.500000
PATRIOTS	0.350000	0.450000	0.575000	0.575000	0.500000	0.500000
RAIDERS	0.600000	0.575000	0.500000	0.550000	0.500000	0.000000
RAMS	0.650000	0.600000	0.600000	0.600000	0.500000	0.500000
RAVENS	0.700000	0.675000	0.500000	0.750000	0.500000	0.500000
SAINTS	0.500000	0.525000	0.575000	0.500000	0.500000	0.500000
SEAHAWKS	0.400000	0.375000	0.500000	0.600000	0.500000	0.500000
STEELERS	0.325000	0.275000	0.450000	0.650000	0.500000	0.500000
TEXANS	0.450000	0.400000	0.500000	0.500000	0.500000	0.500000
TITANS	0.485000	0.500000	0.500000	0.650000	0.500000	0.500000
VIKINGS	0.625000	0.675000	0.625000	0.600000	0.500000	0.500000
49ERS	0.450000	0.550000	0.550000	0.600000	0.500000	0.500000
